,0,1,2,3,4,5,6,7,8,9
0,Sam went on a blind date,with a guy she met on a dating app,They had dinner and went for a walk,,,,,,,
1,Linda found out that her ex student had passed away and is interested in going to his funeral,He's turning 50,,,,,,,,
2,Ersin has been sick and hasn't heard about Rose's birthday party after work tonight,The entire team is coming so Corin insists that he be there too,Ersin might leave early if he's unwell,,,,,,,
3,Cam wants to catch up with Sam,Sam is very busy now and next week too,She will let Cam know if she has some spare time to meet,Sam,On the following week,,,,,
4,For the visit of Jim's sister this weekend,Kate wants to bake the cake she ate at Emma's,Next time Emma is going to teach Kate how to make cake bottoms,,,,,,,
5,Minnie,Max and Luke are going from Cardiff to Lanzarote on the 2nd of February and coming back on the 9th,The flights are £111 each,Minnie is doing the booking,They'll stay in an inland hotel with a pool and a bar because it's about £200 cheaper than by the beach,They will fly there directly,,,,
6,Cody will come over to Martha's at 7 and they will watch a film then possibly go out,,,,,,,,,
220,Martha refuses to watch a Marvel film this time,Maggie and David will join Nick for the comic con this year,Maggie will dress up as Wonder Woman and David might dress up as Superman,Maggie will call Nick for details,,,,,,
7,Ellie and Hugh are going on a camping trip,Hugh can't find his pillow,but Ellie will bring a spare one,,,,,,,
75,They are taking sandwiches and tomato soup for the road,Lance bought a Philips TV,Ricky and Neil are happy for him,Lance proposed to watch the games together once TV is delivered,but Ricky and Neil will have to bring pizza,,,,,
8,Mary instructs Jennifer on how to prepare a presentation on global warming,Jennifer will give the presentation on Friday,but also gives new possibilities,each making a presentation,,,,,,
98,It'll be her first with such a vast audience,Alice's birthday is in two weeks,She's not outgoing,so they won't be throwing a party for her,but she likes art so Sidney and Oliver decide to take her to the impressionist exhibition and for a coffee,,,,,
9,Julian has two foxes in his garden,The foxes opened some bin bags and made a mess,but they do not bother Julian,,,,,,,
10,Mike is angry because of the dissatisfied customer whose radio broke down after two years of usage,Sue believes that a radio costing 200 should last longer,The device has a warranty and will probably be fixed,,,,,,,
11,Trevor found cheap early bird tickets for the festival,Chelsea cannot afford it and doesn't know if she can go anyway,Trevor is also looking for the accomodation,Ethan and Levy like the big and cheap apartment they had 2 years ago,she's renting an apartment,because the price was raised,,,,
256,Monica was thinking about vacation,Joanna is having a video conference with her,She's trying to look attractive during the conference,She's over thirty,Joanna and Monica find her behavior funny,,,,,
12,She proposed a photo safari in Africa,Floyd agreed to go with Monica,She booked two weeks in Tanzania in July,,,,,,,
13,Vera invited some colleagues from her new job to a get-together party,She is looking for a game,Olga recommends a game called Mafia,Vera wants Olga to join the party on Friday evening,,,,,,
14,Sid has a song stuck in his head and Casie discovers it is Super Girl,,,,,,,,,
15,There is no need to buy plastic cups or cutlery,Around 10 people are coming and Arthur should buy 1 litre of juice and soda per person,The beverages should be of different flavours,Joanne will buy some nachos and Tracy will bring guacamole with 5 avocados,carrots and celery,,,,,
169,hummus,a stomachache and a running nose,Celia couldn't make it to the afternoon with the Collins and Jennifer as she is ill,but doesn't want to meet with Jennifer as it might be contagious,Jennifer will leave a basket with cookies on Celia's terrace,Peter did not,,,,
16,Seth's pet Oreo that he got when he was 10 is feeling worse and they're thinking of putting him down,Tim is busy at work and Susan is on a business trip to Vienna,and he also hasn't got it back,,,,,,,
17,Dee is trying to visit Caron,they decide to go out dressed in a smart casual way,Caron will be at Dee's place around 8,not worry too much and drink tea and water instead of coffee,,,,,,
68,but due unfavorable circumstances both of them decide not to do it several times,Karen is worried about her parents' possible divorce,Her father is stubborn and her mother is too soft,even though Karen tried to encourage her to be more decisive,whereas Josh is feeling under the weather,Sam decided on the features he likes,,,,
316,Finally,30 to watch a thriller at the movies,Stella doesn't want to visit Sandra because she doesn't want to get infected by Sandra's disease,Sandra's doctor prescribed her effective medicines,Stella wants to take Sandra to the cinema for some action movie when she recovers,,,,,
18,"The general questions in ""Who wants to be a millionaire"" were difficult today",Will and Meg,Any woman should be able to answer a question about strobing,Harry laughs at their suggestions,,,,,,
28,The one about strobing and the one about the 1-dollar bill were of special interest to Harry,Bill is bored in class and starts playing Jelly pop suggested by Harry,,,,,,,,
19,Audrey will join Matt studying in one of the campus buildings,,,,,,,,,
70,They will eat at Flaming WOK before studying together,Kristel wants to book tickets for 30 children for the show on Friday,Kristel asks questions about the booking on the website and cinema rules,Jake answers Kristel's questions,Elon Musk set up PayPal,They will meet at the main entrance,,,,
20,Ethan and Abigail exchange ideas about Christmas gifts,They want to buy new Kindle and ebooks for mum,bird-watching set for dad,a bag for granny and a book for uncle Stevie who's coming for Christmas Eve,Uncle Steve is going to spend Christmas with them,The store employee sent him some pictures for reference,,,,
21,Terry is feeling better,Terry reckons the new project will start next week but Adelaide finds it hard to believe,,,,,,,,
22,Seb missed the last race of the season,but he did see Will Smith and Hamilton and he loved it,,,,,,,,
23,Matt fell off his bike and broke his leg on Monday,Matt was released from the hospital yesterday,Simon sprained his toe yesterday,,,,,,,
305,Kate is busy,He usually gets a house with friends,Kate believes her boyfriend's mother dislikes her,,,,,,,
58,but will manage on her own,Tonette went to a psychiatrist,She'll starts in 2-3 months when she gets a raise at work,after sharing a video with her mum,She has 2 cats,Generally the sister is very fit,,,,
24,Logan is flying out to Paris on Saturday to visit his sister,Holly has been there once before,Logan will bring Holly back a souvenir,,,,,,,
25,Karol is looking for recommendations for a Christmas present for his 4-year-old niece,Sylwia suggests a jigsaw puzzle,Monika suggests a whiteboard,marker pens and letter magnets to help the niece learn the alphabet,Karol likes the idea a lot,,,,,
26,Katy needs Brendon's help in the animal association tomorrow morning,They arrange to meet at 8 am to prepare meals for baby kittens and to clean the boxes of dogs and bigger cats,Brendon doesn't mind that as he loves cats,He should bring a snack for the morning and they arrange a lunch later,the 29th to get there by 9 am on Monday,They are happy,,,,
27,Tyler is seeing Ashley for drinks today,Ashley needs to write something and then go to the uni for a while,Tyler doesn't know Warsaw at all as he spent there one night only,Ashley will see Tyler later and they will find some place together,,,,,,
29,Marissa wants to give Gary framed pics of him and his dad as a gift,Paula will send some pics of them to Marissa,,,,,,,,
30,Alfred helps his mother Hetty create a shortcut to a link in her Hotmail,,,,,,,,,
31,Aly and Mick are discussing the current political situation in the UK,,,,,,,,,
32,Curtis wants to throw a stag party for Chris,Alexander suggests hiring strippers,Emory wants to discuss their plans over drinks,,,,,,,
55,He consults with Chris over the phone and he likes the idea,Tom wants to stay home for New Year's Eve,Maggie will ask Tom if Chris and Jane can come over to celebrate New Year's Eve,They are going to have a fun day,,,,,,
168,They will meet at 8 pm on Saturday at the market square,""" It's a Greek name",Mark and Jackie will meet tonight for dinner and movies at Mark's place,,,,,,,
324,Alexander will be 30 minutes late,However,Alexander finds Mr Linda's voice monotonous,Igor fell asleep during the lecture,Casper reckons it's a waste of time,,,,,
33,Tristan found out from an article that each year there are more male than female children born which is linked to an evolutionary theory,Shane alleges an alternative theory linked to female sperms,,,,,,,,
34,John subscribed to Asimov's magazine,Tec did read it and gave John constructive comments,John gave his literature notes to Eric,,,,,,,
300,He is planning on sending them one of his stories,Jimmy offers his help,Jimmy and Alex's teacher requires their class to divide into 2 groups,Marlo,,,,,,
127,Peter did not have time to read it,Peter sent an email explaining 3 options and wants to make a decision,Kim and Luke are confused,Stella is in for Place 2 and she is going with her dogs,,,,,,
35,Brooke failed her third exam and is worried she'll be kicked out of uni,Angela and Emily try to cheer her up,Emily will ask her cousin to tutor Brooke as she needs to resit her exams,,,,,,,
36,Bacallao is tired as he has been working on several reports on HIV and vaccine hesitancy,has rashes and other allergic reactions,,,,,,,,
37,Hector has to return his book tomorrow,because Carmen hasn't returned it to him yet,,,,,,,,
239,He can't do this,Carol is joining them,Harvey and Carol are going skiing next Saturday because Harvey has to work this week,Harvey will drive and Carol will pay for gas and snacks,Jon and Amanda might join them,Nobody except Harvey has skied before,He has a free day tomorrow,,,
38,Matt was starring in the Netflix series called 1983,,,,,,,,,
39,Moore received a letter from Roger with an offer,He will accept the offer if Roger doesn't change the previously established price,including potential clients,Mr,,,,,,
40,Mark's company urgently needs a Polish Translator for a six-month-long internal assignment,00 pm,but only if Julie starts the conversation,,,,,,,
230,Julie agrees to an improvised video conference with Mark and his colleagues,m,because she's too shy,Tracey seems to be very upset,because she was hurt by Julie,Harry wants to talk to her,Mike knew that Julie was not a good person,Harry will inform Mike if he managed to talk to Tracey later on,,
41,Sam is sending Dorothy Tom's photos,Sam and Dorothy are attracted to Tom,Sam wants to look glamorous and act casually to attract Tom,Sam found that Tom is single,,,,,,
42,Andrew's got a sore throat,He has some meetings and hopes he won't have to talk too much in them,Diana has to work at home to prepare classes and translations before noon,,,,,,,
64,then she goes to therapy at 12 and in the afternoon she has school,Ingrid's and Bea's sons are doing well in their new schools,even though Ollie didn't make any friends,Kelly's having problems with Lucas who doesn't like his school,Bea will help her and take care of Ellis,they want to meet,He is a nerd who lives and has always lived with his mother and grandmother,has to move,,
43,Marciano is dissatisfied with his coworkers,Elliot believes that the workplace is limited to earning money and not making friendships,,,,,,,,
193,He focuses on relations with people he likes,Sally is feeling great,Sally doesn't feel the chemistry in her new relationship anymore,Fran suggests that Sally is overthinking the situation and that Sally should give the relationship some time,Sally,start dating,,,,
44,Evie needs to invest the money from Chris' baptism party but doesn't want to try stock exchange as it's too risky,Agatha would go for a deposit as the money is safe in the bank,Evie will check mBank website,,,,,,,
45,Lynn and Martin will probably go to Portugal with their friends,Martin will take care of the hotel,Jane will handle transport and food and Lynn will deal with the best places to visit and to party,He stayed in a hotel in the centre while in Lisbon,,,,,,
46,John lost his weight by exercising in the gym everyday,and being on vegetable juice diet for 4 weeks,Melissa will meet John on Thursday at 4 p,at the health store,,,,,,
155,m,Julia dreamed about a party at a bar,They are enjoying themselves very much,The party will take place on Saturday at Julia's favourite Mexican place,Julia posts in a more genuine way,,,,,
321,so he can tell her about it,He is angry because he lost a match in FIFA,Mary has two kids,Kate had a fight with Chris about refugees,He thinks the U,Kate and Mary do not share this opinion,They are having second thoughts about their friendship,,,
47,Zuza found cheap tickets to Norway at 200 zl and a room at the same price,Zuza will book and pay everything and then Maddy will pay her,,,,,,,,
218,which is available from 14 to 16,Lucy's buying rollerblades for her niece,They have a few scratches,but are in a good condition and are good for beginners,Hannah won't give Lucy any discount,Lucy will think about buying them,,,,
48,Uncle Jason and his children will visit Mom this weekend for Thanksgiving celebration,Mom wants Jake to buy a turkey from the farm near High River,Jake will text Lisa to invite her to the meeting,,,,,,,
49,Mats is giving welcome to a new neighbor,Bobby,,,,,,,,
303,They agree the neighborhood is lovely,Julie has just watched a Japanese horror,She's alone at home and really scared,Paula and Rose are going to come to her place for a spontaneous sleepover,"They'll drink cocoa and watch ""When Harry met Sally",""" Rose will bring cookies",,,,
